road_id,road_admin,name,road_surface,road_class,portion,length
571112,State,I80,Paved,1,0.002151326031566677,0.671206756662635
574551,State,S71,Paved,3,0.052881992407955616,1.9143251602104387
573844,State,S171,Paved,3,0.0947101559710671,1.844252385850903
574551,State,S71,Paved,3,0.017559647556532793,0.6356582570221281
563380,State,U89,Paved,3,0.0032536388324834542,2.441758677447008
574725,State,S186,Paved,4,0.04288113467456471,0.7130715826803065
570643,State,I15,Paved,1,0.00014721259146369548,0.09519486295892751
570643,State,I15,Paved,1,0.001010225945844331,0.6532615146301555
572526,State,S130,Paved,3,0.00711529782994655,0.4890557659020726
563381,State,U91,Paved,4,0.004705965489310552,0.35868940280254685
570643,State,I15,Paved,1,0.0002164993819627052,0.13999909105407482
563380,State,U89,Paved,3,7.137607203417642e-05,0.053565608300324245
570643,State,I15,Paved,1,0.00022506103607288955,0.14553547541914277
574898,State,I215,Paved,1,0.008700843023886061,0.40613423720702735
573667,State,S152,Paved,4,0.002293027582586031,0.06840485114359095
573908,State,S209,Paved,3,0.006638185049741108,0.1420226776878546
575107,State,S210,Paved,4,0.04422832615433576,1.0101840423087545
573913,State,S48,Paved,4,0.0040059354691549896,0.10552942122169984
574551,State,S71,Paved,3,0.004215148786271539,0.1525881497304585
563380,State,U89,Paved,3,0.00019421560699509294,0.14575300704594032
570643,State,I15,Paved,1,0.0003379974752391811,0.21856570158804833
573061,State,S213,Paved,5,0.020859239280988023,1.540396306815781
575179,State,S32,Paved,5,0.09403342244113894,3.845781611080958
573061,State,S213,Paved,5,0.021905441176644856,1.6176553820171622
575179,State,S32,Paved,5,0.09403342244113894,3.845781611080958
563380,State,U89,Paved,3,7.344739694637322e-05,0.055120075725434314
575347,State,S26,Paved,3,0.009946124883198806,0.05316879364798414
575484,State,S203,Paved,3,0.005124832413288038,0.05064130393619277
570643,State,I15,Paved,1,0.007014745294335852,4.536077453339058
571112,State,I80,Paved,1,0.003713577237060329,1.1586240747936576
574725,State,S186,Paved,4,0.016735023531804033,0.278287172356332
574731,State,S269,Paved,3,0.2995032222867967,2.1012288949267766
574708,State,S270,Paved,4,0.7209581516964666,1.6888381442438647
574551,State,S71,Paved,3,0.02534109300763273,0.9173461460662761
563380,State,U89,Paved,3,0.0020937908327163706,1.5713274268496096
563396,State,U40,Paved,3,0.024431268981220156,6.875214770174143
573039,State,S163,Paved,4,0.07152897587862463,1.676962956032138
563392,State,S262,Paved,4,0.04206439527820572,2.7074836837878054
573018,State,U191,Paved,3,0.0013229557207460633,0.5376198842145907
570643,State,I15,Paved,1,0.0019378719449039167,1.2531227960386302
573872,State,S154,Paved,3,0.03482902327860137,1.3042193567524896
573669,State,S68,Paved,4,0.0010548657924773104,0.10112901195887525
574551,State,S71,Paved,3,0.007556559861247135,0.2735470433002342
573872,State,S154,Paved,3,0.10787810116788311,4.0396397736280845
573669,State,S68,Paved,4,0.010863185752777258,1.0414436127690854
573872,State,S154,Paved,3,0.06340297048375741,2.3742090244410616
573872,State,S154,Paved,3,0.013960875000206815,0.5227836355565704
573669,State,S68,Paved,4,0.001065885840717143,0.10218549383380282
563381,State,U91,Paved,4,0.002757819365160895,0.21020140997076953
575179,State,S32,Paved,5,0.02731874289346827,1.1172827312896467
573872,State,S154,Paved,3,0.013068293589632742,0.4893597309056647
573669,State,S68,Paved,4,0.027810130579347066,2.6661316046014116
574551,State,S71,Paved,3,0.010682621950858331,0.3867103156738834
563410,State,S56,Paved,4,0.01592726129689243,1.5765159536924018
576077,State,U6,Paved,3,0.002191343483029775,1.054406375003803
576077,State,U6,Paved,3,0.002191343483029775,1.054406375003803
573071,State,S10,Paved,4,0.003919082070033535,0.4338794014828601
